,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
292,51.553,-176.2286,93.8187,1600141472,326,7,3.1,0.4674,nT,Teleseismic signal — same signal as evid #325
293,54.2581,-168.02,50.7677,1600141505,327,6,3.93,0.662,nT,Teleseismic signal — same signal as evid #325
296,51.909,-175.0621,2.2807,1600147749,330,11,1.67,0.4879,-,earthquake
298,53.8538,-166.8303,18.1446,1600151264,332,10,0.77,0.7261,-,earthquake
302,54.0596,-166.0417,0,1600159086,337,5,-999,0.4603,D,Duplicate of matched evid #338 (evid #338 is an S-only location)
305,54.0302,-165.7066,36.6899,1600166273,340,8,1.28,0.1302,D,Duplicate of matched evid #341 (evid #341 is an S-only location)
308,51.4025,-176.0681,35.5144,1600174180,343,6,-999,0.1797,-,earthquake
309,51.4171,-176.2182,99.8871,1600175800,344,7,1.48,2.7707,-,earthquake
312,52.35,-175.8313,96.4094,1600184901,347,4,-999,0.1229,-,earthquake — low SNR
314,51.5419,-174.8221,14.3606,1600191326,350,6,1.72,0.1932,-,earthquake — very low SNR (possibly very deep)
319,53.6099,-175.9043,0.0601,1600226722,355,6,2.14,0.9791,-,earthquake — low SNR
320,51.9359,-176.3504,0.4901,1600227361,356,14,0.86,3.7087,-,earthquake
322,51.2235,-174.8554,10,1600235172,358,6,1.95,-1,-,earthquake — poor location
323,51.7982,-177.2412,0.3247,1600245559,359,13,-999,2.8434,-,earthquake
324,51.7567,-177.7541,21.4251,1600245594,360,10,2.18,0.5262,-,earthquake
326,51.9021,-176.3352,0.3248,1600252946,363,10,1.05,3.52,-,earthquake — poor location
327,50.6604,-174.0982,15.0417,1600254785,364,8,2.36,0.7682,-,earthquake — low SNR
328,52.2559,-174.1892,7.5158,1600257443,365,13,-999,1.8958,-,earthquake
332,51.4306,-177.5054,36.6063,1600267544,369,5,-999,0.0857,-,earthquake
334,53.4019,-166.1988,34.9508,1600270653,371,7,1.82,0.2258,-,earthquake
336,52.2312,-174.2348,0.0792,1600276999,373,8,-999,2.6508,-,earthquake — one subnet only
338,51.4766,-177.0319,41.7556,1600306384,375,9,1.8,0.4028,-,earthquake
339,51.4365,-174.4685,54.591,1600319858,376,5,2.07,0.5187,-,earthquake
