,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotated
468,61.366,-149.9845,48.4589,1543610743,1189,9,-999,0.2251,-,earthquake — in coda of preceeding event (P-only solution)
476,61.5399,-149.21,13.1833,1543610731,1193,11,2.98,0.748,D,Duplicate of MATCHED evid #1202 (S-only solution)
493,61.5863,-149.47,25.1577,1543611405,1252,16,3.17,0.7025,D,Duplicate of MATCHED evid #1277
495,61.4725,-149.9721,32.5123,1543611749,1284,5,2,0.3871,-,earthquake — proceeds and runs into larger event
497,61.4938,-150.0746,34.9455,1543611796,1286,12,2.01,0.5549,-,earthquake
501,61.5161,-150.4297,40.1019,1543611312,1241,8,1.79,1.9688,D,Duplicate of MATCHED evid #1243
503,61.4323,-150.0667,13.502,1543611957,1294,13,2.56,0.6558,-,earthquake
515,61.4075,-150.1153,14.5714,1543612276,1317,66,3.61,0.8849,D,Duplicate of MATCHED evid #1368
537,61.4719,-149.876,2.754,1543613368,1394,10,1.89,1.0697,-,earthquake
538,61.4363,-149.9003,33.5015,1543613412,1399,8,1.65,0.3112,-,earthquake
553,61.5066,-150.0063,34.884,1543613476,1397,11,-999,0.6874,-,earthquake — in coda of preceeding event + missing P-associations from near souce stations
578,61.2966,-150.1501,41.1552,1543615156,1534,13,2.15,0.7258,D,Duplicate of MATCHED evid #1561 or #1584
581,61.6109,-149.5989,99.9653,1543615415,1555,7,2.32,2.425,-,earthquake — in coda or preceeding event + uses some incorrect S-phases at farther locations
591,61.5848,-149.6539,24.1348,1543615742,1583,8,2.9,0.6701,D,Duplicate of MATCHED evid #1576
601,61.4258,-150.0908,25.4422,1543616136,1603,8,2.05,1.0472,-,earthquake — small
604,61.4528,-150.0548,35.8433,1543616214,1611,9,1.88,0.3212,-,earthquake
609,61.4669,-149.4722,82.4175,1543616581,1632,16,-999,1.8102,D,Duplicate of MATCHED evid #1640
612,61.4231,-149.9251,8.3529,1543616752,1654,11,1.96,0.6685,-,earthquake — small in coda of preceeding event
618,61.4355,-149.8619,34.3104,1543616952,1670,8,-999,0.5645,-,earthquake — small in coda of preceeding event
628,61.3873,-150.1272,36.1462,1543617255,1693,11,1.88,0.7752,-,earthquake — several small events clustered together
