,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
281,60.4701,-143.0006,13.9614,1664094881,1270,7,0.87,0.1214,-,earthquake
283,61.4348,-141.0667,0.0013,1664095971,1272,20,1.86,0.9105,-,earthquake
284,60.1715,-141.4889,0.6258,1664100080,1273,5,-999,0.9083,lf_G,low frequency glacial event
285,60.7163,-143.5758,19.1416,1664110570,1274,11,-999,0.7485,-,earthquake
287,61.0757,-141.2029,20,1664129070,1276,10,1.32,-1,-,earthquake
289,60.1554,-140.6841,5.4184,1664160082,1278,7,-999,1.3362,-,earthquake (small)
290,60.3782,-141.2147,0.5327,1664171228,1279,8,0.21,1.2344,-,earthquake
291,60.1058,-140.5101,0,1664172820,1280,9,1.3,1.1176,-,earthquake
293,60.966,-144.3176,0.046,1664182867,1282,7,1.61,0.83,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
298,60.0825,-140.5041,0.0402,1664244540,1287,7,1.7,0.6004,-,earthquake (small)
299,60.7579,-144.4499,20.9823,1664253771,1288,20,-999,6.3264,-,earthquake (location has high residuals)
300,60.2124,-140.8827,25.2587,1664258500,1289,11,0.85,0.7437,-,earthquake
301,60.9737,-141.406,0.0416,1664279988,1291,15,1.29,2.7102,-,earthquake
303,60.5645,-144.5647,1.1106,1664296244,1294,20,1.3,2.5129,-,earthquake
304,59.8922,-141.5932,20.109,1664306913,1295,7,-999,0.3593,-,earthquake
305,60.4152,-143.0624,16.0122,1664310258,1296,13,0.92,0.462,-,earthquake
307,60.3269,-141.2484,17.6441,1664314000,1298,14,1.22,0.6928,-,earthquake
309,60.1416,-140.1732,34.3872,1664325542,1300,5,-999,0.9704,-,earthquake (tiny)
310,60.6161,-144.895,40.476,1664327685,1301,6,0.7,0.6242,-,earthquake
311,59.9756,-141.363,30,1664328443,1302,5,1.36,-1,lf_G,low frequency glacial event
312,60.7567,-144.125,34.8951,1664330250,1303,5,0.83,0.7224,-,earthquake
316,60.3389,-141.5759,0.6489,1664338406,1308,14,1,2.3631,lf_G,low frequency glacial event
317,60.4037,-143.6541,0.1862,1664358982,1310,11,0.96,0.9329,hf_G,high frequency glacial event
